Name,Attention,Address 1,Address 2,City,State,Zip Code,Phone,Credential,Licensee Type,First Issued Date,Expiration Date,License Status,Status Reason,Supervisor License,Supervisor Name,Supervision Type,Supervisor License Status,Supervisor Expiration,
DIXON ELECTRICAL SYSTEMS & CONTRACT,,3352 NORWOOD RD,,HUNTINGTON,WV,25705,(304)523-2712,53.89.1362,Fire Protection Organization - Company,07/28/1998,07/01/2027,Active,ACTIVE,,,,,,
AST FIRE PROTECTION CO,,8823 ZEALAND AVE N,SUITE N,BROOKLYN PARK,MN,55445,(763)424-5800,53.89.1372,Fire Protection Organization - Company,01/05/1999,07/01/2027,Active,ACTIVE,,,,,,
ELECTRONIC SPECIALTY CO,,1325 DUNBAR AVE,,DUNBAR,WV,25064,(304)766-6277,53.89.1394,Fire Protection Organization - Company,07/16/1999,07/01/2027,Active,ACTIVE,,,,,,
AADCO INC,,115 N 2ND AVE,,BEECH GROVE,IN,46107-1305,(317)781-7680,53.89.1395,Fire Protection Organization - Company,08/06/1999,07/01/2027,Active,ACTIVE,,,,,,
CENNOX INC,,PO BOX 5108,,MISSOULA,MT,59806-5108,(406)251-5041,53.89.1406,Fire Protection Organization - Company,12/08/1999,07/01/2027,Active,ACTIVE,,,,,,
B SECURE ALARM SYSTEMS INC,,9330 N STATE ROAD 101,,DECATUR,IN,46733-8196,(260) 724-7722,53.89.1407,Fire Protection Organization - Company,12/08/1999,07/01/2027,Active,ACTIVE,,,,,,
TELGIAN CORPORATION,,10230 S 50TH PL,,PHOENIX,AZ,85044-0625,480 248-1215,53.89.1408,Fire Protection Organization - Company,02/07/2000,07/01/2027,Active,ACTIVE,,,,,,
CENTRAL KENTUCKY SPRINKLER,,243 INDUSTRY PKWY,,NICHOLASVILLE,KY,40356-9110,(859)885-7990,53.89.1409,Fire Protection Organization - Company,02/07/2000,07/01/2027,Active,ACTIVE,,,,,,
SARGENT ELECTRIC COMPANY,,2740 SMALLMAN ST,,PITTSBURGH,PA,15222-4743,(412) 391-0588,53.89.1417,Fire Protection Organization - Company,05/31/2000,07/01/2027,Active,ACTIVE,,,,,,
SENTRY FIRE PROTECTION INC,,PO BOX 1138,,WAYNE,WV,25570-1138,(304) 523-7211,53.89.1418,Fire Protection Organization - Company,05/31/2000,07/01/2027,Active,ACTIVE,,,,,,
PRITCHARD ELECTRIC,,2425 8TH AVE,,HUNTINGTON,WV,25703-1901,(304)529-2566,53.89.1424,Fire Protection Organization - Company,07/21/2000,07/01/2027,Active,ACTIVE,,,,,,
PRIORITY 1,,5420 DISTRIBUTION DR,,FORT WAYNE,IN,46825-5114,(800)458-6487,53.89.1428,Fire Protection Organization - Company,07/21/2000,07/01/2027,Active,ACTIVE,,,,,,
PROFESSIONAL FIRE EXTINGUISHER SALE,,3202 WINCHESTER AVE ,,ASHLAND,KY,41101,(606) 324-0807,53.89.1440,Fire Protection Organization - Company,03/05/2001,07/01/2027,Active,ACTIVE,,,,,,
VULCAN FIRE SYSTEMS INC,,3330 GILMORE INDUSTRIAL BLVD,,LOUISVILLE,KY,40213-4107,(502)968-7714,53.89.1448,Fire Protection Organization - Company,07/10/2001,07/01/2027,Active,ACTIVE,,,,,,
INTERSTATE FIRE PROTECTION CO INC,,6183 WILLIAM FLYNN HWY,,VALENCIA,PA,16059-1715,(724)443-1822,53.89.1452,Fire Protection Organization - Company,08/24/2001,07/01/2027,Active,ACTIVE,,,,,,
TOTAL FIRE PROTECTION INC,,5385 PATTERSON AVE SE STE C,,GRAND RAPIDS,MI,49512-9530,(616)735-2300,53.89.1459,Fire Protection Organization - Company,01/22/2002,07/01/2027,Active,ACTIVE,,,,,,
FULLER ENGINEERING COMPANY LLC,,4135 W 99TH ST,,CARMEL,IN,46032-7732,(317)228-5800,53.89.1463,Fire Protection Organization - Company,03/20/2002,07/01/2027,Active,ACTIVE,,,,,,
PRANGER ENTERPRISES INC,,PO BOX 366,,ASHLEY,IN,46705-0366,(260)587-9309,53.89.1467,Fire Protection Organization - Company,05/22/2002,07/01/2027,Active,ACTIVE,,,,,,
BLAZE FIRE PROTECTION INC,,3054 NORTHRIDGE DR NW STE A,,GRAND RAPIDS,MI,49544-9117,(616) 887-7739,53.89.1472,Fire Protection Organization - Company,07/08/2002,07/01/2027,Active,ACTIVE,,,,,,
"ZACHRY INDUSTRIAL, INC",,PO BOX 240130,,SAN ANTONIO,TX,78224-0130,(210)588-5000,53.89.1480,Fire Protection Organization - Company,10/21/2002,07/01/2027,Active,ACTIVE,,,,,,
EDGEWOOD ELECTRIC INC,,939 DUDLEY PIKE,,EDGEWOOD,KY,41017-8120,(859)341-4433,53.89.1483,Fire Protection Organization - Company,11/13/2002,07/01/2027,Active,ACTIVE,,,,,,
TRISTAR FIRE PROTECTION INC,,47810 GALLEON DR,PO BOX 701728,PLYMOUTH,MI,48170-2468,(734)454-1350,53.89.1502,Fire Protection Organization - Company,10/24/2003,07/01/2027,Active,ACTIVE,,,,,,
SECURITAS TECHNOLOGY CORPORATION,,11899 EXIT 5 PKWY STE 100,,FISHERS,IN,46037-8017,678-533-3813,53.89.1512,Fire Protection Organization - Company,07/23/2004,07/01/2027,Active,ACTIVE,,,,,,
ALARM SERVICES NETWORK,,3039 DIXIE HWY,,WATERFORD,MI,48328-1788,(800)808-4472,53.89.1513,Fire Protection Organization - Company,08/12/2004,07/01/2027,Active,ACTIVE,,,,,,
"F E MORAN INC, FIRE PROTECTION",,3001 RESEARCH RD STE A,,CHAMPAIGN,IL,61822-1089,(217) 356-0700,53.89.1516,Fire Protection Organization - Company,10/28/2004,07/01/2027,Active,ACTIVE,,,,,,
ALLIANCE FIRE SYSTEMS INC,,109 GRAND AVE,P O BOX 853,MARS,PA,16046-3428,(724)625-8000,53.89.1519,Fire Protection Organization - Company,01/21/2005,07/01/2027,Active,ACTIVE,,,,,,
INTERTECH SECURITY LLC,,1501 PREBLE AVE,,PITTSBURGH,PA,15233-2248,(412)246-1200,53.89.1521,Fire Protection Organization - Company,01/19/2005,07/01/2027,Active,ACTIVE,,,,,,
PRECISION ELECTRICAL CONT INC,,2403 SIDNEY ST STE 125,,PITTSBURGH,PA,15203,(412)481-9750,53.89.1522,Fire Protection Organization - Company,02/03/2005,07/01/2027,Active,ACTIVE,,,,,,
SECURITY SYSTEMS OF AMERICA,,475 ARDMORE BLVD,,PITTSBURGH,PA,15221-3018,(412)244-4900,53.89.1523,Fire Protection Organization - Company,02/08/2005,07/01/2027,Active,ACTIVE,,,,,,
ABSOLUTE FIRE PROTECTION LLC,,2031 GARRARD ST,,COVINGTON,KY,41014,(859)261-0999,53.89.1525,Fire Protection Organization - Company,04/14/2005,07/01/2027,Active,ACTIVE,,,,,,
SUMMIT FIRE PROTECTION,,575 MINNEHAHA AVE W,,SAINT PAUL,MN,55103-1573,(651)251-1880,53.89.1537,Fire Protection Organization - Company,09/26/2005,07/01/2027,Active,ACTIVE,,,,,,
BLAZE CONTRACTING INC,,5640 SAINT JEAN ST,,DETROIT,MI,48213-3415,(313)361-1000,53.89.1545,Fire Protection Organization - Company,12/27/2005,07/01/2027,Active,ACTIVE,,,,,,
VIVINT INC,,3401 N ASHTON BLVD,,LEHI,UT,84048-5307,(801)705-8066,53.89.1547,Fire Protection Organization - Company,02/16/2006,07/01/2027,Active,ACTIVE,,,,,,
FIRELINE SPRINKLER LLC,,5036 W CLAIREMONT DR,,APPLETON,WI,54913-6505,(920)757-9590,53.89.1549,Fire Protection Organization - Company,03/20/2006,07/01/2027,Active,ACTIVE,,,,,,
PROTEK CORPORATION,,739 N 18TH ST,,RICHMOND,IN,47374-2507,(765)966-3473,53.89.1556,Fire Protection Organization - Company,05/25/2006,07/01/2027,Active,ACTIVE,,,,,,
KINETIX,,12 CREEK PKWY STE 300,,UPPER CHICHESTER,PA,19061-3159,(610)627-1600,53.89.1558,Fire Protection Organization - Company,06/20/2006,07/01/2027,Active,ACTIVE,,,,,,
CHAPMAN CORPORATION,,331 S. MAIN ST.,,WASHINGTON,PA,15301,(724)228-1900,53.89.1560,Fire Protection Organization - Company,05/30/2006,07/01/2027,Active,ACTIVE,,,,,,
SAFETY FIRST FIRE EQUIP,,250 FURNACE HILL RD,,DUNBAR,PA,15431-2452,(724)277-4213,53.89.1563,Fire Protection Organization - Company,07/14/2006,07/01/2027,Active,ACTIVE,,,,,,
AFP CORPORATION,,4905 S 97TH ST,,OMAHA,NE,68127-2202,(402)733-2800,53.89.1571,Fire Protection Organization - Company,10/11/2006,07/01/2027,Active,ACTIVE,,,,,,
SECURITY SIGNAL DEVICES INC,,1740 N LEMON ST,,ANAHEIM,CA,92801-1007,(714)449-9900,53.89.1574,Fire Protection Organization - Company,01/08/2007,07/01/2027,Active,ACTIVE,,,,,,
WALMART STORES INC,,1105 SE 5TH ST MS 610,,BENTONVILLE,AR,72712-6100,(479)277-0289,53.89.1575,Fire Protection Organization - Company,02/15/2007,07/01/2027,Active,ACTIVE,,,,,,
NEWTECH SYSTEMS INC,,1850 DALTON AVE,,ASHLAND,KY,41102,(606)325-0306,53.89.1576,Fire Protection Organization - Company,02/21/2007,07/01/2027,Active,ACTIVE,,,,,,
SECURITY CONSULTANTS & SOLUTIONS,,2841 13TH ST STE 2,,ASHLAND,KY,41102-5475,(606)465-2811,53.89.1578,Fire Protection Organization - Company,03/14/2007,07/01/2027,Active,ACTIVE,,,,,,
SAFETY FIRST FIRE PROTECTION INC,,PO BOX 530,,INDEPENDENCE,KY,41051,(859)291-4111,53.89.1585,Fire Protection Organization - Company,05/09/2007,07/01/2027,Active,ACTIVE,,,,,,
TOTAL SAFETY US INC,,4210 MALONE DR,,PASADENA,TX,77507-1841,(713)353-7100,53.89.1589,Fire Protection Organization - Company,08/15/2007,07/01/2027,Active,ACTIVE,,,,,,
FAIRCHILD COMMUNICATION SYSTEMS INC,,3185 N SHADELAND AVE,,INDIANAPOLIS,IN,46226-6233,(317)576-9115,53.89.1590,Fire Protection Organization - Company,09/11/2007,07/01/2027,Active,ACTIVE,,,,,,
EXTINGUISHER COMPANY NO 1,,5420 DISTRIBUTION DR,,FORT WAYNE,IN,46825,(260)497-9110,53.89.1595,Fire Protection Organization - Company,11/05/2007,07/01/2027,Active,ACTIVE,,,,,,
JCM COMMUNICATIONS,,167 WEIBLE DR,,HOOVERSVILLE,PA,15936-7209,(814)479-7534,53.89.1596,Fire Protection Organization - Company,11/13/2007,07/01/2027,Active,ACTIVE,,,,,,
MCCARL'S LLC,,1413 9TH AVE,,BEAVER FALLS,PA,15010-4106,(724)843-5660,53.89.1598,Fire Protection Organization - Company,12/07/2007,07/01/2027,Active,ACTIVE,,,,,,
PEERLESS-MIDWEST INC,,55860 RUSSELL INDUSTRIAL PKWY,,MISHAWAKA,IN,46545-7599,(574)254-9050,53.89.1606,Fire Protection Organization - Company,02/22/2008,07/01/2027,Active,ACTIVE,,,,,,
CENTURY FIRE PROTECTION LLC,,2450 SATELLITE BLVD,,DULUTH,GA,30096-5801,(770)945-2330,53.89.1607,Fire Protection Organization - Company,02/22/2008,07/01/2027,Active,ACTIVE,,,,,,
E.R. ZEILER EXCAVATING INC,,125 SUBSTATION RD,,TEMPERANCE,MI,48182,(734)847-5745,53.89.1609,Fire Protection Organization - Company,03/13/2008,07/01/2027,Active,ACTIVE,,,,,,
3S INCORPORATED,,8686 SOUTHWEST PARKWAY,,HARRISON,OH,45030,(812)656-8045,53.89.1613,Fire Protection Organization - Company,05/01/2008,07/01/2027,Active,ACTIVE,,,,,,
EDGE FIRE PROTECTION INC,,7 MONROE DR,,PELHAM,AL,35124,(205)620-2433,53.89.1616,Fire Protection Organization - Company,05/27/2008,07/01/2027,Active,ACTIVE,,,,,,
YADEN ENTERPRIZE LLC,,6230 W ORLAND RD,,ANGOLA,IN,46703-8752,(810)623-2209,53.89.1618,Fire Protection Organization - Company,06/05/2008,07/01/2027,Active,ACTIVE,,,,,,
WACHTER INC,,16001 W 99TH ST,,LENEXA,KS,66219-1293,(913)541-2500,53.89.1622,Fire Protection Organization - Company,07/29/2008,07/01/2027,Active,ACTIVE,,,,,,
STONES RIVER ELECTRIC INC,,1244 GALLATIN PIKE S,,MADISON,TN,37115-4613,(615)885-0019,53.89.1624,Fire Protection Organization - Company,08/13/2008,07/01/2027,Active,ACTIVE,,,,,,
JOHN E GREEN COMPANY,,220 VICTOR ST,,HIGHLAND PARK,MI,48203-3116,(313)868-2400,53.89.1627,Fire Protection Organization - Company,10/28/2008,07/01/2027,Active,ACTIVE,,,,,,
SAFECARE ELECTRONICS INC,,1925 SHELBY STREET,,INDIANAPOLIS,IN,46203,(317)359-3455,53.89.1632,Fire Protection Organization - Company,12/18/2008,07/01/2027,Active,ACTIVE,,,,,,
STRONG SYSTEMS INTERNATIONAL INC,,1111 ALDERMAN DR STE 300,,ALPHARETTA,GA,30005-5433,(770)729-1199,53.89.1634,Fire Protection Organization - Company,01/12/2009,07/01/2027,Active,ACTIVE,,,,,,
THE WILKINS CO INC,,PO BOX 8770,,ERIE,PA,16505-0770,(814) 833-6376,53.89.1638,Fire Protection Organization - Company,02/17/2009,07/01/2027,Active,ACTIVE,,,,,,
ALLFIRE SERVICES LLC,,PO BOX 936,,ROCK HILL,SC,29731-6936,(800)216-3473,53.89.1646,Fire Protection Organization - Company,05/13/2009,07/01/2027,Active,ACTIVE,,,,,,
WIGINTON FIRE SYSTEMS,,699 AERO LANE,,SANFORD,FL,32771,(407)585-3200,53.89.1647,Fire Protection Organization - Company,06/02/2009,07/01/2027,Active,ACTIVE,,,,,,
MILTON J WOOD FIRE PROTECTION,,3805 FAYE RD,,JACKSONVILLE,FL,32226-2394,(912)964-2155,53.89.1648,Fire Protection Organization - Company,06/02/2009,07/01/2027,Active,ACTIVE,,,,,,
BAKERS GAS & WELDING SUPPLIES INC,,905 N DIXIE HWY,,MONROE,MI,48162,(734)241-8959,53.89.1649,Fire Protection Organization - Company,07/17/2009,07/01/2027,Active,ACTIVE,,,,,,
ALARM MGMT II DBA SONITROL TRI-CTY,,7241 FENTON RD,,GRAND BLANC,MI,48439-8961,(248)473-9400,53.89.1650,Fire Protection Organization - Company,06/16/2009,07/01/2027,Active,ACTIVE,,,,,,
CONSOLIDATED FABRICATION & CONSTRUC,,3851 ELLSWORTH ST,,GARY,IN,46408-2030,(219)884-6150,53.89.1651,Fire Protection Organization - Company,06/26/2009,07/01/2027,Active,ACTIVE,,,,,,
SAFETY TECH INC,,30 E 7TH ST,PO BOX 665,LAPEL,IN,46051,(765)594-4309,53.89.1658,Fire Protection Organization - Company,09/29/2009,07/01/2027,Active,ACTIVE,,,,,,
"ARBOR INSPECTION SERVICES, LLC",,3735 PLAZA DR,,ANN ARBOR,MI,48108-1655,(734)761-8088,53.89.1659,Fire Protection Organization - Company,10/07/2009,07/01/2027,Active,ACTIVE,,,,,,
HVAC COMPLETE SERVICES LLC,,1233 CASTLE DR STE A3,,MASON,OH,45040-6915,(513) 899-1888,53.89.1661,Fire Protection Organization - Company,11/05/2009,07/01/2027,Active,ACTIVE,,,,,,
INDIANA FIRE SPRINKLER & BACKFLOW,,2331 SOUTHYARD CT.,,FORT WAYNE,IN,46818,(260) 486-3473,53.89.1663,Fire Protection Organization - Company,11/30/2009,07/01/2027,Active,ACTIVE,,,,,,
RANGER FIRE INC,,360 S BLUE MOUND RD,,FORT WORTH,TX,76131-1036,(817) 847-7757,53.89.1667,Fire Protection Organization - Company,01/12/2010,07/01/2027,Active,ACTIVE,,,,,,
GALLAGHER FIRE EQUIPMENT,,30895 W 8 MILE,,LIVONIA,MI,48152,(248)477-1540,53.89.1668,Fire Protection Organization - Company,01/13/2010,07/01/2027,Active,ACTIVE,,,,,,
EC SCHMIDT PLUMBING CONT,,1599 GRANDVIEW ROAD,,ALEXANDRIA,KY,41001,(859)635-4308,53.89.1669,Fire Protection Organization - Company,01/19/2010,07/01/2027,Active,ACTIVE,,,,,,
COLIANT SOLUTIONS INC,,2703 BRICKRON NORTH DRIVE,,BUFORD,GA,30518,(770)614-3454,53.89.1671,Fire Protection Organization - Company,02/11/2010,07/01/2027,Active,ACTIVE,,,,,,
ASCENT SYSTEMS INNOVATIONS,,1803 SUMPTER CT,,UNION,KY,41091-7663,(859)534-6200,53.89.1672,Fire Protection Organization - Company,02/17/2010,07/01/2027,Active,ACTIVE,,,,,,
DYNAMIC FIRE PROTECTION INC,,8730 SWAN CREEK RD,PO BOX 285,NEWPORT,MI,48166-9273,(734)586-6970,53.89.1675,Fire Protection Organization - Company,05/03/2010,07/01/2027,Active,ACTIVE,,,,,,
ALL STAR ALARM LLC,,8345 MAIN ST,,WHITMORE LAKE,MI,48189-9246,(734)449-7302,53.89.1680,Fire Protection Organization - Company,06/02/2010,07/01/2027,Active,ACTIVE,,,,,,
CINCINNATI SAFETY LLC,,3484 RIVER RD,,CINCINNATI,OH,45204-1102,,53.89.1683,Fire Protection Organization - Company,09/20/2010,07/01/2027,Active,ACTIVE,,,,,,
BOYNTON FIRE SAFETY SERVICE LLC,,1031 NORTHCREST RD,,LANSING,MI,48906-1299,(517)316-9911,53.89.1685,Fire Protection Organization - Company,11/24/2010,07/01/2027,Active,ACTIVE,,,,,,
SCFS LLC DBA CENTRAL SAFETY & FIRE,,768 STUMP CT,,DES PERES,MO,63131-2140,(314)965-0707,53.89.1691,Fire Protection Organization - Company,11/03/2010,07/01/2027,Active,ACTIVE,,,,,,
TELAID INDUSTRIES INC,,13 WEST MAIN STREET,,NIANTIC,CT,06357,(860)739-4461,53.89.1693,Fire Protection Organization - Company,12/16/2010,07/01/2027,Active,ACTIVE,,,,,,
MONGIOVI & SON FIRE PROTECTION SERV,,190 BILMAR DR STE 100,,PITTSBURGH,PA,15205-4611,(412)922-6700,53.89.1698,Fire Protection Organization - Company,03/21/2011,07/01/2027,Active,ACTIVE,,,,,,
CLAW INC,,2200 EASTBROOK RD,,NEW CASTLE,PA,16105,(724)656-1223,53.89.1702,Fire Protection Organization - Company,05/02/2011,07/01/2027,Active,ACTIVE,,,,,,
FAITH TECHNOLOGIES INC,,PO BOX 260,,MENASHA,WI,54952-0260,(920)225-6500,53.89.1709,Fire Protection Organization - Company,09/22/2011,07/01/2027,Active,ACTIVE,,,,,,
CURRENT FIRE PROTECTION INC,,2120 EAST WASHINGTON BLVD,,FORT WAYNE,IN,46803,(260)422-4667,53.89.1711,Fire Protection Organization - Company,11/01/2011,07/01/2027,Active,ACTIVE,,,,,,
FIRE FABRICATION AND SUPPLY,,347 EAST MAIN STREET,,SPRING ARBOR,MI,49283,(517)750-4742,53.89.1712,Fire Protection Organization - Company,11/01/2011,07/01/2027,Active,ACTIVE,,,,,,
LVD CONCEPTS SECURE 24,,111 CORPORATE OFFICE DR STE 200,,EARTH CITY,MO,63045-1506,314-941-9264,53.89.1716,Fire Protection Organization - Company,12/06/2011,07/01/2027,Active,ACTIVE,,,,,,
AT EASE SECURITY & TECHNOLOGY,,15914 LOWER GEORGES CREEK RD SW,,LONACONING,MD,21539-1229,(301)463-2371,53.89.1717,Fire Protection Organization - Company,01/05/2012,07/01/2027,Active,ACTIVE,,,,,,
TRAINING SPECIALTIES INC,,300 N POTTSTOWN PIKE STE 190,PO BOX 1167,EXTON,PA,19341,(610)524-2522,53.89.1721,Fire Protection Organization - Company,01/30/2012,07/01/2027,Active,ACTIVE,,,,,,
ADT LLC DBA PROTECTION ONE,,1501 W YAMATO RD,,BOCA RATON,FL,33431-4438,(561) 988-3681,53.89.1726,Fire Protection Organization - Company,03/15/2012,07/01/2027,Active,ACTIVE,,,,,,
AMTECK LLC,,1387 E NEW CIRCLE RD,,LEXINGTON,KY,40505-4262,(859)255-9546,53.89.1731,Fire Protection Organization - Company,05/07/2012,07/01/2027,Active,ACTIVE,,,,,,
COMCAST CTR DBA XFINITY HOME,,1701 JFK BLVD,ATTN: DOUG BASSETT,PHILADELPHIA,PA,19103,(215)286-1700,53.89.1732,Fire Protection Organization - Company,08/08/2012,07/01/2027,Active,ACTIVE,,,,,,
T J CARR INC,,2308 CLEVELAND ST,,BEECH GROVE,IN,46107-1060,(317)491-5111,53.89.1738,Fire Protection Organization - Company,07/18/2012,07/01/2027,Active,ACTIVE,,,,,,
J & J FIRE PROTECTION CO INC,,101 POWELL RD,,BUTLER,PA,16002-0447,(724) 586-6111,53.89.1744,Fire Protection Organization - Company,10/19/2012,07/01/2027,Active,ACTIVE,,,,,,
PROTEX LLC,,PO BOX 609,,DELLSLOW,WV,26531,(888)577-6839,53.89.1748,Fire Protection Organization - Company,12/11/2012,07/01/2027,Active,ACTIVE,,,,,,
LSS LIFE SAFETY SERVICES,,908 S 8TH ST STE 500,,LOUISVILLE,KY,40203-3360,(888)675-4519,53.89.1754,Fire Protection Organization - Company,03/21/2013,07/01/2027,Active,ACTIVE,,,,,,
ALL PRO MECHANICAL & LIFE SAFETY,,PO BOX 3530,,LAWRENCEBURG,IN,47025-3530,(513) 374-6027,53.89.1755,Fire Protection Organization - Company,02/22/2013,07/01/2027,Active,ACTIVE,,,,,,
MASTEC NORTH AMERICA INC,,806 S DOUGLAS RD FL 10,,CORAL GABLES,FL,33134-3157,(305) 447-6477,53.89.1757,Fire Protection Organization - Company,03/12/2013,07/01/2027,Active,ACTIVE,,,,,,
MAXIMUM FIRE PROTECTION,,501 TECHNE CENTER DR STE F,,MILFORD,OH,45150-2772,(859)640-5415,53.89.1759,Fire Protection Organization - Company,03/21/2013,07/01/2027,Active,ACTIVE,,,,,,
GARDNER FIRE PROTECTION INC,,6278 W 400 N,,GREENFIELD,IN,46140-9641,(317)326-8600,53.89.1762,Fire Protection Organization - Company,04/03/2013,07/01/2027,Active,ACTIVE,,,,,,
CONVERGINT TECHNOLOGIES LLC,,921 EASTWIND DR STE 126,,WESTERVILLE,OH,43081-3363,(847)620-5000,53.89.1766,Fire Protection Organization - Company,06/24/2013,07/01/2027,Active,ACTIVE,,,,,,
2 KREW INC,,177 S JEFFERSON ST,,KITTANNING,PA,16201-2419,(724) 543-0274,53.89.1769,Fire Protection Organization - Company,07/30/2013,07/01/2027,Active,ACTIVE,,,,,,
WESTMORELAND ELECTRIC SERVICES LLC,,193 CENTRAL RD,,TARRS,PA,15688-2110,(724) 696-4600,53.89.1771,Fire Protection Organization - Company,08/21/2013,07/01/2027,Active,ACTIVE,,,,,,
PENN FIRE PROTECTION INC,,1768 ROUTE 522,,SELINSGROVE,PA,17870-7908,(570) 374-4508,53.89.1777,Fire Protection Organization - Company,12/05/2013,07/01/2027,Active,ACTIVE,,,,,,
SHAW SYSTEMS & INTEGRATION,,22100 TELEGRAPH RD,,SOUTHFIELD,MI,48033-4213,(248) 228-2000,53.89.1779,Fire Protection Organization - Company,01/21/2014,07/01/2027,Active,ACTIVE,,,,,,
KLUMP EXCAVATING AND CONSTRUCTION INC,,7247 STATE ROAD 46 E,,BATESVILLE,IN,47006-8257,(812) 932-3300,53.89.1780,Fire Protection Organization - Company,01/30/2014,07/01/2027,Active,ACTIVE,,,,,,
VOLUNTEER TECHNOLOGY SYSTEMS LLC,,125 MILLER AVE,,JACKSON,TN,38305-4349,(731) 660-8878,53.89.1782,Fire Protection Organization - Company,02/14/2014,07/01/2027,Active,ACTIVE,,,,,,
CONTI  LLC,,6417 CENTER DR,,STERLING HEIGHTS,MI,48312-2600,(586) 274-4800,53.89.1783,Fire Protection Organization - Company,02/27/2014,07/01/2027,Active,ACTIVE,,,,,,
BROADWAY ELECTRIC SERVICE COMPANY LLC,,1800 N CENTRAL ST,,KNOXVILLE,TN,37917-5411,(865) 524-1851,53.89.1784,Fire Protection Organization - Company,04/16/2014,07/01/2027,Active,ACTIVE,,,,,,
ZIP CITY INDUSTRIES LLC DBA ALLTRONICS,,10706 TRENTON AVE,,SAINT LOUIS,MO,63132-1026,(314) 231-2610,53.89.1785,Fire Protection Organization - Company,05/19/2014,07/01/2027,Active,ACTIVE,,,,,,
JW DIDADO ELECTRIC LLC,,1033 KELLY AVE,,AKRON,OH,44306-3143,(330) 374-0070,53.89.1789,Fire Protection Organization - Company,06/19/2014,07/01/2027,Active,ACTIVE,,,,,,
HOSLER MECHANICAL INC,,10800 GALAXIE AVE,,FERNDALE,MI,48220-2132,(248) 399-4200,53.89.1791,Fire Protection Organization - Company,07/25/2014,07/01/2027,Active,ACTIVE,,,,,,
BLUEGRASS FIRE PROTECTION LLC,,9030 WASHINGTON TRACE RD,,CALIFORNIA,KY,41007-9090,(859) 991-7384,53.89.1796,Fire Protection Organization - Company,08/12/2014,07/01/2027,Active,ACTIVE,,,,,,
RSQ FIRE PROTECTION,,1445 BROOKVILLE WAY STE R,,INDIANAPOLIS,IN,46239-1197,(317) 786-9817,53.89.1799,Fire Protection Organization - Company,08/22/2014,07/01/2027,Active,ACTIVE,,,,,,
FIRE CONTROL INC,,255 ALDERMAN AVE,,WHEELING,IL,60090-6505,(847) 459-4570,53.89.1808,Fire Protection Organization - Company,11/25/2014,07/01/2027,Active,ACTIVE,,,,,,
GREAT LAKES EXCAVATING INC,,6275 S DIXIE HWY,,ERIE,MI,48133-9225,(734) 848-4445,53.89.1809,Fire Protection Organization - Company,12/23/2014,07/01/2027,Active,ACTIVE,,,,,,
FLUENT HOME LLC,,138 E 12300 S STE C147,,DRAPER,UT,84020-7976,(855) 238-4826,53.89.1810,Fire Protection Organization - Company,01/23/2015,07/01/2027,Active,ACTIVE,,,,,,
PHOENIX SECURITY SYSTEMS INC,,1217 N PROVIDENCE RD,,MEDIA,PA,19063-1204,(610) 521-1765,53.89.1811,Fire Protection Organization - Company,01/27/2015,07/01/2027,Active,ACTIVE,,,,,,
CBS SERVICES LLC,,401 E COLFAX AVE STE 304,,SOUTH BEND,IN,46617-2736,(574) 538-2050,53.89.1813,Fire Protection Organization - Company,02/05/2015,07/01/2027,Active,ACTIVE,,,,,,
TP ELECTRIC INC,,3252 STATE ROUTE 31,,ACME,PA,15610-2405,(724) 593-7046,53.89.1819,Fire Protection Organization - Company,04/08/2015,07/01/2027,Active,ACTIVE,,,,,,
MONROE EXTINGUISHER CO INC,,105 DODGE ST,PO BOX 60980,ROCHESTER,NY,14606-1503,(585) 235-3310,53.89.1821,Fire Protection Organization - Company,04/27/2015,07/01/2027,Active,ACTIVE,,,,,,
NORTHSTAR ALARM SERVICES LLC,,545 E UNIVERSITY PKWY STE 500,,OREM,UT,84097-7750,(800) 775-3827,53.89.1822,Fire Protection Organization - Company,05/08/2015,07/01/2027,Active,ACTIVE,,,,,,
NELBUD SERVICES LLC,,51 KOWEBA LN,,INDIANAPOLIS,IN,46201-4107,(317) 202-0360,53.89.1824,Fire Protection Organization - Company,06/10/2015,07/01/2027,Active,ACTIVE,,,,,,
FARNER FIRE LLC,,1299 ROUTE 18,,BURGETTSTOWN,PA,15021-2313,(800) 554-3590,53.89.1827,Fire Protection Organization - Company,08/14/2015,07/01/2027,Active,ACTIVE,,,,,,
FALCON FIRE PROTECTION LLC,,514 WATTS RD,,JACKSON,MI,49203-2331,(517) 764-1332,53.89.1830,Fire Protection Organization - Company,09/17/2015,07/01/2027,Active,ACTIVE,,,,,,
LIGHTHOUSE ELECTRIC COMPANY INC,,5367 HARDT RD,,GIBSONIA,PA,15044-9113,724-873-3500,53.89.1831,Fire Protection Organization - Company,09/29/2015,07/01/2027,Active,ACTIVE,,,,,,
ALDER HOLDINGS LLC DBA ALDER,,450 N 1500 W,,OREM,UT,84057-2829,(385) 218-2754,53.89.1833,Fire Protection Organization - Company,11/09/2015,07/01/2027,Active,ACTIVE,,,,,,
SKYLINE SECURITY MANAGEMENT INC,,10642 DOWNEY AVE STE 205,,DOWNEY,CA,90241-3442,(562) 249-7171,53.89.1836,Fire Protection Organization - Company,12/09/2015,07/01/2027,Active,ACTIVE,,,,,,
